cities,income,owner
"St. John's (N.L.)",96320,51405
"Halifax (N.S.)",85940,90645
"Saint John (N.B.)",77730,32770
"Saguenay (Que.)",76880,41880
"Qu_bec (Que.)",87570,195770
"Winnipeg (Man.)",81880,180580
"Regina (Sask.)",97940,58040
"Saskatoon (Sask.)",94580,68600
"Calgary (Alta.)",104410,315190
"Edmonton (Alta.)",101870,294365
"Abbotsford-Mission (B.C.)",73960,34920
"Vancouver (B.C.)",79930,452545
"Victoria (B.C.)",89640,80635
"Vancouver (B.C.)",69930,452545
"Victoria (B.C.)",79640,80635
"Vancouver (B.C.)",19930,452545
"Victoria (B.C.)",49640,80635
